HouseHoldNumber,Year,Age,Education,Marriage,Work Type,Number of People in a Household,House Type,House Size,Living Type,Savings,Deposit,Living House Price,Nonliving House Price,Housing Credit Loan,Living House Credit Loan,Credit Loan,Income,Income 2,Transfer Income,Region,Income Level,Weight
866200361,2015,50,4,3,4,1,2,63,3,5662,200,0,0,0,0,0,0,2200,0,A0402,A1902,1535.136345
867502271,2015,27,5,2,8,2,2,66,1,2740,0,13700,0,0,0,1000,4800,0,0,A0402,A1904,767.1523573
867504351,2015,76,1,3,6,1,1,50,1,15,0,1750,9450,0,0,0,0,320,329,A0402,A1901,1066.6137
867504361,2015,77,4,3,6,1,1,83,1,350,0,6200,10000,0,0,500,150,400,179,A0402,A1901,1066.6137
867504371,2015,59,2,2,6,3,1,99,1,10160,0,6000,0,1500,1500,0,3000,6000,0,A0402,A1905,1421.778256
868200391,2015,61,2,2,7,2,1,89,1,1283,0,4000,0,0,0,400,870,1000,610,A0402,A1902,1871.950487
868504351,2015,59,2,2,6,2,1,99,1,4190,0,4000,43000,10000,0,6000,0,6000,0,A0402,A1904,1260.534837
868504361,2015,42,4,2,7,5,3,93,1,7770,0,3500,15000,0,0,0,6821,0,0,A0402,A1904,1734.263658
868504371,2015,53,6,2,8,3,2,50,2,2365,1630,0,0,0,0,950,2760,0,0,A0402,A1902,1909.042971
869200311,2015,79,1,3,,1,1,59,1,250,0,1500,0,0,0,0,100,0,379,A0402,A1901,1387.980636
869504351,2015,72,1,3,9,1,1,112,1,98,0,2647,0,0,0,0,200,0,448,A0402,A1901,1066.6137
869504361,2015,55,4,2,3,2,2,109,1,7080,0,16500,0,0,0,0,5700,0,0,A0402,A1904,691.3966887
869504371,2015,41,4,2,8,2,3,66,2,50,3000,0,0,0,0,0,900,0,0,A0402,A1901,781.7418049
870200311,2015,46,4,2,1,4,1,108,2,6600,3500,0,0,0,0,0,0,5000,0,A0402,A1904,2708.33571
